
*************************************************************
 Amazon kindlegen(Linux) V2.9 build 1028-0897292 
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/001/testing.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/001/routing.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/001/migrations.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/001/action_controller_overview.html#strong-parameters
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/001/active_record_validations.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/001/layouts_and_rendering.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/001/association_basics.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/001/security.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/001/index.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/001/irc:/irc.freenode.net/#rubyonrails
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/002/getting_started.html#the-mvc-architecture
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/002/migrations.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/002/association_basics.html#polymorphic-associations
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/002/active_record_querying.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/002/active_record_validations.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/002/active_record_callbacks.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/003/001.html#column-modifiers
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/003/002.html#active-record-and-referential-integrity
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/003/003.html#schema-dumping-and-you
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/003/004.html#reverting-previous-migrations
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/004/000.html#working-with-validation-errors
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/005/active_record_querying.html#dynamic-finders
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/006/003.html#polymorphic-associations
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/006/active_record_querying.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/006/003.html#the-has-many-through-association
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/007/011.html#array-conditions
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/007/011.html#hash-conditions
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/009/security.html#cross-site-request-forgery-csrf
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/009/i18n.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/007/security.html#sql-injection
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/011/routing.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/007/association_basics.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/012/routing.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/012/layouts_and_rendering.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/007/011.html#pure-string-conditions
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/012/security.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/012/form_helpers.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/007/012.html#joining-tables
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/009/layouts_and_rendering.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/013/rails_on_rack.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/013/routing.html#dynamic-segments
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/010/asset_pipeline.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/014/security.html#cross-site-scripting-xss
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/015/000.html#using-different-backends
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/015/004.html#footnote-2
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/015/005.html#footnote-3
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/011/security.html#cross-site-request-forgery-csrf
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/015/010.html#footnote-2-ref
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/011/security.html#logging
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/016/configuring.html#configuring-action-mailer
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/011/routing.html#resource-routing-the-rails-default
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/016/configuring.html#creating-rails-environments
Warning(prcgen):W14001: Hyperlink not resolved:  /association_basics.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/018/getting_started.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/019/002.html#sessions
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/019/005.html#examples-from-the-underground
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/013/security.html#csrf-countermeasures
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/022/migrations.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/022/testing.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/014/002.html#class-attributes
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/023/001.html#in-production
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/023/008.html#asset-organization
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/025/001.html#routes
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/025/getting_started.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/025/002.html#test-directory
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/025/002.html#routes
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/025/configuring.html#initializers
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/025/asset_pipeline.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/027/001.html#autoloading-algorithms-qualified-references
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/015/010.html#footnote-1-ref
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/016/testing.html#testing-your-mailers
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/027/006.html#loading-mechanism
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/019/000.html#additional-resources
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/019/002.html#cross-site-scripting-xss
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/027/009.html#nesting
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/027/009.html#constant-reloading
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/027/009.html#require-dependency
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/027/009.html#generic-procedure
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/023/001.html#precompiling-assets
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/028/generators.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/030/rails_application_templates.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/031/api_documentation_guidelines.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/031/ruby_on_rails_guides_guidelines.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/031/development_dependencies_install.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/032/contributing_to_ruby_on_rails.html#follow-the-coding-conventions
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/033/routing.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/033/api_documentation_guidelines.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/027/002.html#constant-reloading
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/027/005.html#resolution-algorithm-for-relative-constants
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/033/api_documentation_guidelines.html#fonts
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/027/006.html#autoloading-and-sti
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/035/asset_pipeline.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/036/active_job_basics.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/036/constant_autoloading_and_reloading.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/027/009.html#resolution-algorithm-for-qualified-constants
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/037/upgrading_ruby_on_rails.html#spring
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/037/upgrading_ruby_on_rails.html#cookies-serializer
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/029/000.html#resources
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/030/002.html#generator-methods
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/037/upgrading_ruby_on_rails.html#changes-in-json-handling
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/040/asset_pipeline.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/043/getting_started.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/043/association_basics.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/043/active_record_querying.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/043/layouts_and_rendering.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/043/form_helpers.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/043/routing.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/043/action_controller_overview.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/043/caching_with_rails.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/043/testing.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/043/debugging_rails_applications.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/043/performance_testing.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/043/plugins.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/043/credits.html
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/sections/033/api_documentation_guidelines.html#example-code
Warning(prcgen):W14002: Some hyperlinks could not be resolved.
Info(prcgen):I1008: Resolving start reading location
Info(prcgen):I1049: Building table of content     URL: /home/rails/v4.2.11.3/guides/output/kindle/nav-contents.ncx
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/vijaydev.jpg"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/fxn.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/credits_pic_blank.gif"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/radar.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/oscardelben.jpg"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/akshaysurve.jpg"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/getting_started/rails_welcome.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/getting_started/new_article.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/getting_started/routing_error_no_controller.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/getting_started/unknown_action_new_for_articles.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/getting_started/template_is_missing_articles_new.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/getting_started/unknown_action_create_for_articles.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/getting_started/forbidden_attributes_for_new_article.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/getting_started/show_action_for_articles.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/getting_started/form_with_errors.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/getting_started/index_action_with_edit_link.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/getting_started/confirm_dialog.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/getting_started/article_with_comments.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/getting_started/challenge.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/belongs_to.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/has_one.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/has_many.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/has_many_through.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/has_one_through.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/habtm.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/polymorphic.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/i18n/demo_untranslated.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/i18n/demo_translation_missing.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/i18n/demo_translated_en.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/i18n/demo_translated_pirate.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/i18n/demo_localized_pirate.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/i18n/demo_html_safe.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/session_fixation.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/csrf.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/rails4_features.png"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/images/rails_guides_kindle_cover.gif"
Info(prcgen):I1014: Converting and merging media file "/tmp/mbt-HkVGjw7E4_5_10_2_21_2A_59_14D0_9F3F860_A"
Info(pagemap):I8000: No Page map found in the book
Info(prcgen/inflections):I1012: Compiling inflections
Info(prcgen):I1019: Building index into record  0000000 Index name: $NCX
Info(prcgen):I1026: Unicode index using utf-8 encoding
Info(prcgen):I1045: Computing UNICODE ranges used in the book
Info(prcgen):I1046: Found UNICODE range: Basic Latin [20..7E]
Info(prcgen):I1046: Found UNICODE range: General Punctuation - Windows 1252 [2013..2014]
Info(prcgen):I1046: Found UNICODE range: Latin-1 Supplement [A0..FF]
Info(prcgen):I1046: Found UNICODE range: Hiragana [3040..309F]
Info(prcgen):I1046: Found UNICODE range: Latin Extended-A [100..17F]
Info(prcgen):I1046: Found UNICODE range: Arrows [2190..21FF]
Info(prcgen/compress):I4001: Compiling source text for compression (4096 passes max). Pass  0000001
Info(prcgen/compress):I4001: Compiling source text for compression (4096 passes max). Pass  0000002
Info(prcgen/compress):I4001: Compiling source text for compression (4096 passes max). Pass  0000004
Info(prcgen/compress):I4001: Compiling source text for compression (4096 passes max). Pass  0000008
Info(prcgen/compress):I4001: Compiling source text for compression (4096 passes max). Pass  0000016
Info(prcgen/compress):I4001: Compiling source text for compression (4096 passes max). Pass  0000032
Info(prcgen/compress):I4001: Compiling source text for compression (4096 passes max). Pass  0000064
Info(prcgen/compress):I4001: Compiling source text for compression (4096 passes max). Pass  0000128
Info(prcgen/compress):I4001: Compiling source text for compression (4096 passes max). Pass  0000256
Info(prcgen/compress):I4001: Compiling source text for compression (4096 passes max). Pass  0000512
Info(prcgen/compress):I4001: Compiling source text for compression (4096 passes max). Pass  0001024
Info(prcgen/compress):I4001: Compiling source text for compression (4096 passes max). Pass  0001484
Info(prcgen/compress):I4002: Compression pass  0000001
Info(prcgen/compress):I4002: Compression pass  0000002
Info(prcgen/compress):I4002: Compression pass  0000003
Info(prcgen/compress):I4006: Text compressed to (in % of original size):  32.57%
Info(prcgen/compress):I4007: Compression dictionary statistics:  000285438 bytes 000026118 entries 
Info(prcgen/compress):I4002: Compression pass  0000004
Info(prcgen/compress):I4006: Text compressed to (in % of original size):  29.94%
Info(prcgen/compress):I4007: Compression dictionary statistics:  000210648 bytes 000018883 entries 
Info(prcgen/compress):I4002: Compression pass  0000005
Info(prcgen/compress):I4006: Text compressed to (in % of original size):  28.91%
Info(prcgen/compress):I4007: Compression dictionary statistics:  000170484 bytes 000014876 entries 
Info(prcgen/compress):I4002: Compression pass  0000006
Info(prcgen/compress):I4006: Text compressed to (in % of original size):  27.98%
Info(prcgen/compress):I4007: Compression dictionary statistics:  000136778 bytes 000011874 entries 
Info(prcgen/compress):I4002: Compression pass  0000007
Info(prcgen/compress):I4006: Text compressed to (in % of original size):  27.78%
Info(prcgen/compress):I4007: Compression dictionary statistics:  000117518 bytes 000009499 entries 
Info(prcgen/compress):I4002: Compression pass  0000008
Info(prcgen/compress):I4006: Text compressed to (in % of original size):  27.42%
Info(prcgen/compress):I4007: Compression dictionary statistics:  000093830 bytes 000007609 entries 
Info(prcgen/compress):I4002: Compression pass  0000009
Info(prcgen/compress):I4006: Text compressed to (in % of original size):  27.63%
Info(prcgen/compress):I4007: Compression dictionary statistics:  000081434 bytes 000006102 entries 
Info(prcgen):I1044: Uncompressed record size:   0004096
Info(prcgen/compress):I4005: Advanced compression successful (decoded and verified).
Info(prcgen):I2001: Final stats - TEXT:      000604887 bytes 000000540 records 
Info(prcgen):I2002: Final stats - PICTURES:  000000000 bytes 000000000 records 
Info(prcgen):I2003: Final stats - INDEXES:   000018188 bytes 000000003 records 
Info(prcgen):I2004: Final stats - TRAILING:  000005131 bytes 000000537 records 
Info(prcgen):I2005: Final stats - FRAMES:    000000088 bytes 000000002 records 
Info(prcgen):I2006: Final stats - OTHER:     002477195 bytes 000000044 records 
Info(prcgen):I2007: Final stats - TOTAL:     003105489 bytes 000000589 records 
Info(prcgen):I1039: Final stats - text compressed to (in % of original size):  27.63%
Info(prcgen):I1040: The document identifier is: "Ruby_on_Rails_Guides__v2"
Info(prcgen):I1041: The file format version is V6
Info(prcgen):I1031: Saving PRC file
Info(prcgen):I1032: PRC built successfully
Info(prcgen):I1016: Building enhanced PRC file
Warning(prcgen):W14001: Hyperlink not resolved:  /home/rails/v4.2.11.3/guides/output/kindle/nav-contents.ncx
Info(prcgen):I1007: Resolving mediaidlinks
Info(prcgen):I1011: Writing mediaidlinks
Info(prcgen):I1009: Resolving guide items
Info(prcgen):I1014: Converting and merging media file "/home/rails/v4.2.11.3/guides/output/kindle/nav-contents.ncx"
Info(prcgen):I1013: Converting and merging image file "/home/rails/v4.2.11.3/guides/output/kindle/nav-contents.ncx"
Info(prcgen):I1019: Building index into record  0000000 Index name: Ruby_on_Rails_Guides__v2
Info(prcgen):I1019: Building index into record  0000003 Index name: Ruby_on_Rails_Guides__v2
